Lote,Sensor,Linha,Coluna,total_falhas
lote3,18,3,6,1
lote3,1,1,1,0
lote3,2,2,1,0
lote3,3,3,1,0
lote3,4,1,2,0
lote3,5,2,2,0
lote3,6,3,2,0
lote3,7,1,3,0
lote3,8,2,3,0
lote3,9,3,3,0
lote3,10,1,4,0
lote3,11,2,4,0
lote3,12,3,4,0
lote3,13,1,5,0
lote3,14,2,5,0
lote3,15,3,5,0
lote3,16,1,6,0
lote3,17,2,6,0
lote3,19,1,7,0
lote3,20,2,7,0
lote3,21,3,7,0
lote3,22,1,8,0
lote3,23,2,8,0
lote3,24,3,8,0
lote3,25,1,9,0
lote3,26,2,9,0
lote3,27,3,9,0
lote3,28,1,10,0
lote3,29,2,10,0
lote3,30,3,10,0
